,1,2,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Sugar_Tot_(g)
6049,TOBLERONE,MILK CHOC W/ HONEY & ALMOND NOUGAT,19001,3.28,525,5.71,55.74
6068,HONEY-COMBED,W/ PNUT BUTTER,19025,2.54,486,8.72,62.68
6100,TOOTSIE ROLL,CHOCOLATE-FLAVOR ROLL,19064,6.69,387,1.59,56.32
6101,ALMOND JOY CANDY BAR,,19065,8.2,479,4.13,48.34
6102,TWIZZLERS CHERRY BITES,,19067,15.0,338,2.97,
6103,NESTLE,BIT-O'-HONEY CANDY CHEWS,19068,8.3,375,2.0,48.0
6104,NESTLE,BUTTERFINGER BAR,19069,1.23,459,5.4,45.9
6105,BUTTERSCOTCH,,19070,5.25,391,0.03,80.46
6106,CAROB,UNSWTND,19071,1.54,540,8.15,34.11
6107,CARAMELS,,19074,8.5,382,4.6,65.5
6108,CARAMELLO CANDY BAR,,19075,6.79,462,6.19,56.92
6109, CARAMELS, CHOCOLATE-FLAVOR ROLL,19076,6.69,387,1.59,56.32
6112,CONFECTIONER'S COATING,YOGURT,19079,1.91,522,5.87,62.36
6113,SEMISWEET CHOC,,19080,0.7,480,4.2,54.5
6114,SWEET CHOCOLATE,,19081,0.5,507,3.9,51.48
6115,SWT CHOC COATD FONDANT,,19083,7.7,366,2.2,71.42
6116,HERSHEY'S GOLDEN ALMOND SOLITAIRES,,19084,1.26,569,11.97,37.13
6117,CONFECTIONER'S COATING,BUTTERSCOTCH,19085,0.75,539,2.2,67.1
6118,CONFECTIONER'S COATING,PNUT BUTTER,19086,2.67,529,18.3,38.3
6119,WHITE CHOC,,19087,1.3,539,5.87,59.0
6123,YORK PEPPERMINT PATTIE,,19091,9.03,384,2.19,63.78
6124,TWIZZLERS NIBS CHERRY BITS,,19092,15.0,347,2.3,51.35
6125,SYMPHONY MILK CHOC BAR,,19093,0.94,531,8.51,53.96
6130,5TH AVENUE CANDY BAR,,19098,2.3,482,8.78,47.19
6131,FONDANT,PREPARED-FROM-RECIPE,19099,6.74,373,0.0,88.9
6132,FUDGE,CHOC,19100,9.81,411,2.39,73.12
6133,FUDGE,CHOC,19101,7.66,461,4.38,63.37
6134,FUDGE,PNUT BUTTER,19102,10.93,387,3.78,73.36
6135,FUDGE,VANILLA,19103,10.85,383,1.05,79.77
6136,FUDGE,VANILLA W/ NUTS,19104,7.99,435,3.0,71.0
6137,NESTLE,GOOBERS CHOC COVERED PNUTS,19105,1.9,512,9.7,43.0
6138,GUMDROPS,STARCH JELLY PIECES,19106,1.0,396,0.0,58.97
6139,HARD,,19107,1.3,394,0.0,62.9
6140,JELLYBEANS,,19108,6.3,375,0.0,70.0
6141,KIT KAT WAFER BAR,,19109,1.63,518,6.51,48.68
6142,KRACKEL CHOC BAR,,19110,1.17,512,6.62,52.53
6143,NESTLE,BABY RUTH BAR,19111,6.99,459,5.4,54.0
6144,TWIZZLERS STRAWBERRY TWISTS CANDY,,19112,15.0,348,2.56,39.64
6147,MARS SNACKFOOD US,MARS ALMOND BAR,19115,4.5,467,8.1,52.1
6148,MARSHMALLOWS,,19116,16.4,318,1.8,57.56
6149,HALAVAH,PLAIN,19117,3.67,469,12.49,
6150,NESTLE,OH HENRY! BAR,19118,2.3,462,7.7,46.2
6151,NESTLE,CHUNKY BAR,19119,2.9,475,7.5,52.5
6152,MILK CHOC,,19120,1.5,535,7.65,51.5
6158,MILK CHOC COATD PNUTS,,19126,1.9,519,13.1,37.59
6159,MILK CHOC COATD RAISINS,,19127,11.2,390,4.1,62.22
6162,HERSHEY'S POT OF GOLD ALMOND BAR,,19130,1.26,577,12.82,38.46
6163,MILK CHOC,W/ALMONDS,19132,1.5,526,9.0,43.9
6164,MILK CHOC,W/RICE CRL,19134,1.52,511,7.64,51.06
6165,MARS SNACKFOOD US,MILKY WAY BAR,19135,6.3,456,4.01,59.69
6166,HERSHEY'S SKOR TOFFEE BAR,,19136,1.57,541,3.13,59.89
6168,TRUFFLES,PREPARED-FROM-RECIPE,19138,13.47,510,6.21,38.31
6170,MARS SNACKFOOD US,M&M'S PNUT CHOC CANDIES,19140,2.48,515,9.57,50.75
6171,MARS SNACKFOOD US,M&M'S MILK CHOC CANDIES,19141,1.7,492,4.33,63.68
6172,MOUNDS CANDY BAR,,19142,9.05,486,4.6,46.19
6173,MR. GOODBAR CHOC BAR,,19143,0.45,538,10.22,47.22
6174,NESTLE,100 GRAND BAR,19144,6.1,468,2.5,51.9
6175,NESTLE,CRUNCH BAR&DSSRT TOPPING,19145,0.65,500,5.0,55.0
6177,PEANUT BAR,,19147,1.6,522,15.5,42.22
6178,PNUT BRITTLE,PREPARED-FROM-RECIPE,19148,0.7,486,7.57,51.33
6179,NESTLE,RAISINETS CHOC COVERED RAISINS,19149,6.4,422,4.4,59.0
6180,REESE'S PNUT BUTTER CUPS,,19150,1.44,515,10.24,47.17
6181,REESE'S PIECES CANDY,,19151,1.0,497,12.46,53.25
6182,ROLO CARAMELS IN MILK CHOC,,19152,4.6,474,5.08,63.93
6183,NESTLE,AFTER EIGHT MINTS,19153,6.3,432,1.67,66.6
6184,SESAME CRUNCH,,19154,2.2,516,11.6,31.17
6185,MARS SNACKFOOD US,SNICKERS BAR,19155,5.55,491,7.53,50.47
6186,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,19156,8.51,408,0.41,58.12
6187,MARS SNACKFOOD US,M&M'S MINIS MILK CHOC CANDIES,19157,1.19,502,4.78,62.54
6188,MARS SNACKFOOD US,3 MUSKETEERS BAR,19159,5.8,436,2.6,66.89
6189,MARS SNACKFOOD US,TWIX CARAMEL COOKIE BARS,19160,4.23,502,4.91,48.25
6190,MARS SNACKFOOD US,TWIX PNUT BUTTER COOKIE BARS,19161,1.82,536,9.18,36.13
6191,WHATCHAMACALLIT CANDY BAR,,19162,3.04,494,8.04,48.86
6193,SPL DK CHOC BAR,,19164,0.9,556,5.54,47.56
6205,YORK BITES,,19181,9.09,394,1.78,75.0
6233,PRALINE,PREPARED-FROM-RECIPE,19216,10.36,485,3.3,55.79
6251,HERSHEY'S MILK CHOC W/ ALMOND BITES,,19236,1.19,568,9.76,44.59
6252,REESE'S BITES,,19238,1.65,521,11.34,48.03
6253,REESE'S NUTRAGEOUS CANDY BAR,,19239,1.5,517,11.28,40.22
6256,HEATH BITES,,19243,0.86,530,3.94,60.02
6260,HERSHEY'S,ALMOND JOY BITES,19248,1.26,563,5.58,51.71
6261,HERSHEY,REESESTICKS CRISPY WAFERS,19249,1.6,521,9.53,40.33
6262,HERSHEY,KIT KAT BIG KAT BAR,19250,1.1,520,6.24,53.96
6263,REESE'S,FAST BREAK,19252,4.1,474,8.66,53.08
6264,MARS SNACKFOOD US,DOVE MILK CHOC,19254,1.61,546,5.94,55.45
6265,MARS SNACKFOOD US,DOVE DK CHOC,19255,1.66,520,5.19,46.27
6266,MARS SNACKFOOD US,MILKYWAYCARAML,19256,6.99,463,4.28,58.65
6267,MARS SNACKFOOD US,MILKY WAY CARML. DKCHOCCOV,19258,6.99,458,3.82,54.08
6271,DK CHOC COATD COFFEE BNS,,19268,1.47,540,7.5,42.5
6278,MILK CHOC COATD COFFEE BNS,,19279,2.42,549,7.41,50.75
6282,MARS SNACKFOOD US,M&M'S CRISPY CHOC CANDIES,19292,1.7,475,4.28,58.94
6285,MARS SNACKFOOD US,SNICKERS MUNCH BAR,19295,2.99,536,15.25,30.87
6289,FUDGE,CHOC MARSHMLLW,19301,7.12,474,3.24,
6290,MARS SNACKFOOD US,SNICKERS ALMOND BAR,19302,5.45,472,5.4,53.93
6293,MARS SNACKFOOD US,POP SNICKERS BITE SIZE CANDIES,19306,5.78,480,7.15,51.69
6294,MARS SNACKFOOD US,POP MILKY WAY BITE SIZE,19307,5.78,463,3.3,61.08
6295,MARS SNACK US,POP'ABLES 3 MUSKETEERS BITE SIZE,19308,5.3,443,2.59,67.0
6296,MARS SNACK US,STARBURST FRUIT CHEWS,19309,8.7,408,0.41,57.98
6299,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,19313,8.51,409,0.41,58.18
6301,MARS SNACKFOOD US,STARBURST SOUR FRUIT CHEWS,19315,10.89,400,0.39,56.1
6310,MARS SNACKFOOD US,COCOAVIA CHOC BAR,19326,0.7,539,5.81,39.19
6311,MARS SNACK US,COCOAVIA BLUEBERRY & ALMOND CHOC BAR,19327,2.9,525,6.35,38.99
6312,MARS SNACKFOOD US,COCOAVIA CRISPY CHOC BAR,19328,1.9,517,8.21,34.96
6330,MARS SNACKFOOD US,SNICKERS CRUNCHER,19359,4.47,488,6.86,46.54
6334,MARS SNACKFOOD US,SKITTLES WILD BERRY BITE SIZE,19363,3.83,402,0.19,75.92
6339,MARS SNACKFOOD US,SKITTLES TROPICAL BITE SIZE CAND,19368,3.83,405,0.19,75.76
6340,MARS SNACKFOOD US,SKITTLES SOURS ORIGINAL,19369,3.83,401,0.18,73.16
6341,MARS SNACKFOOD US,SKITTLES ORIGINAL BITE SIZE CAND,19370,3.83,405,0.19,75.84
6345,FUDGE,CHOC MARSHMLLW,19379,7.82,453,2.26,64.06
6346,TAFFY,PREPARED-FROM-RECIPE,19382,4.85,397,0.03,68.48
6347,TOFFEE,PREPARED-FROM-RECIPE,19383,0.55,560,1.07,63.47
6348,DIVINITY,PREPARED-FROM-RECIPE,19384,9.16,364,1.32,78.96
6386,SEMISWEET CHOC,MADE W/BUTTER,19701,0.7,477,4.2,
6419,SUGAR-COATED ALMONDS,,19858,2.3,474,10.0,62.5
6422,SOFT FRUIT & NUT SQUARES,,19866,13.88,390,2.31,45.95
6446,REESE'S FAST BREAK,CANDY BAR,19896,1.66,495,8.93,53.57
6447,MARS SNACKFOOD US,COCOAVIA CHOC COVERED ALMONDS,19897,1.5,573,9.51,26.92
6453,CHOC,DK,19905,1.0,550,5.09,46.14
6458,CRISPY BAR W/ PNUT BUTTER FILLING,,19910,1.6,542,9.53,40.33
6462,M&M MARS 3 MUSKETEERS TRUFFLE CRISP,,19914,0.18,538,6.41,57.69
6464,M&M MARS PRETZEL CHOC CANDIES,,19917,4.84,447,5.0,50.0
6466,FRUIT SNACKS,W/ HI VIT C,19919,11.84,352,0.08,68.18
6468,TAMARIND,,19921,2.52,368,0.0,78.57
6469,COCNT BAR,NOT CHOC COVERED,19922,13.26,481,2.13,36.16
6470,HERSHEYS,PAYDAY BAR,19923,6.97,490,13.44,40.32
8579,MARS SNACKFOOD US,M&M'S PNUT BUTTER CHOC CANDIES,42148,2.0,529,10.16,47.15
8591,MARS SNACKFOOD US,TWIX CHOC FUDGE COOKIE BARS,42183,2.2,550,7.3,53.0
8599,MARS SNACKFOOD US,MILKY WAY MIDNIGHT BAR,42196,7.2,443,3.2,57.81
8603,MARS SNACKFOOD US,M&M'S ALMOND CHOC CANDIES,42227,2.52,522,7.53,49.22
8649,CHOC COVERED,CARAMEL W/NUTS,43031,6.1,470,9.5,41.35
8650,NOUGAT,W/ ALMONDS,43046,2.15,398,3.33,44.97
8651,GUM DROPS,NO SUGAR OR LO CAL (SORBITOL),43057,11.7,354,0.0,70.0
8652,HARD,DIETETIC OR LO CAL (SORBITOL),43058,1.4,394,0.0,0.0
8653,CHOC COVERED,LO SUGAR OR LO CAL,43059,4.0,590,12.39,14.63
